         5335225 function calls (5159150 primitive calls) in 139.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.069    0.017 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_api\deprecation.py:446(wrapper)
        4    0.000    0.000    0.069    0.017 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axes\_base.py:4419(get_tightbbox)
    12880    0.034    0.000    0.068    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:759(__init__)
    79/63    0.000    0.000    0.067    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:5172(parseImpl)
   136/63    0.000    0.000    0.067    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:5062(parseImpl)
    15118    0.045    0.000    0.067    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\ma\core.py:2978(_update_from)
       13    0.000    0.000    0.067    0.005 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_mathtext.py:2159(parse)
       47    0.000    0.000    0.066    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:1591(_get_tick)
        5    0.000    0.000    0.063    0.013 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\figure.py:2596(pick)
   179/52    0.000    0.000    0.063    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:278(wrapper)
    741/5    0.003    0.000    0.063    0.013 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:509(pick)
    14126    0.014    0.000    0.062    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1859(transform_affine)
    22283    0.021    0.000    0.062    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\_core\fromnumeric.py:69(_wrapreduction)
     2173    0.002    0.000    0.062    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:147(<lambda>)
       13    0.000    0.000    0.061    0.005 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_mathtext.py:2196(math_string)
     2173    0.003    0.000    0.060    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:1220(set)
     3946    0.003    0.000    0.059    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:635(new_gc)
   284/61    0.000    0.000    0.058    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:4641(parseImpl)
       10    0.000    0.000    0.057    0.006 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:854(get_children)
     7107    0.004    0.000    0.057    0.000 {method 'min' of 'numpy.ndarray' objects}
   220/36    0.001    0.000    0.057    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:4371(parseImpl)
     3946    0.019    0.000    0.056    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:711(__init__)
      491    0.005    0.000    0.056    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\patches.py:574(_draw_paths_with_artist_properties)
      868    0.056    0.000    0.056    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     4610    0.005    0.000    0.055    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\_core\fromnumeric.py:214(reshape)
   236/26    0.000    0.000    0.055    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:5579(parseImpl)
    12254    0.021    0.000    0.054    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cbook.py:2063(_setattr_cm)
